"file_name","frame_index","time_seconds","source_frame_index","source_time_seconds","exclusion_reason"
"frame_000003.png","3","0.11524771341463415","211","8.105755843495935","human_unresolvable_ball_position"
"frame_000088.png","88","3.380599593495935","296","11.371107723577236","human_unresolvable_ball_position"
"frame_000092.png","92","3.534263211382114","300","11.524771341463415","human_unresolvable_ball_position"
"frame_000177.png","177","6.799615091463415","385","14.790123221544716","human_unresolvable_ball_position"
"frame_000180.png","180","6.914862804878049","388","14.90537093495935","human_unresolvable_ball_position"
"frame_000183.png","183","7.030110518292683","391","15.020618648373985","human_unresolvable_ball_position"
"frame_000186.png","186","7.145358231707317","394","15.135866361788619","human_unresolvable_ball_position"
"frame_000305.png","305","11.716850863821138","513","19.70735899390244","human_unresolvable_ball_position"
"frame_000308.png","308","11.832098577235772","516","19.822606707317075","human_unresolvable_ball_position"
"frame_000314.png","314","12.06259400406504","522","20.053102134146343","human_unresolvable_ball_position"
"frame_000317.png","317","12.177841717479675","525","20.168349847560975","human_unresolvable_ball_position"
