image_name,outcome,net_overlap,player_or_hand_occlusion,motion_blur,frame_edge,low_contrast,other,no_obvious_manual_factor,selected_factors
frame_000000.jpg,FN,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000004.jpg,FN,0,0,1,0,0,0,0,motion_blur
frame_000008.jpg,FN,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000012.jpg,TP,0,0,1,0,0,0,0,motion_blur
frame_000017.jpg,TP,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000021.jpg,TP,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000025.jpg,TP,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000029.jpg,TP,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000033.jpg,TP,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000037.jpg,TP,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000042.jpg,TP,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000046.jpg,TP,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000050.jpg,FN,1,0,0,0,0,0,0,net_overlap
frame_000054.jpg,FN,1,0,0,0,0,0,0,net_overlap
frame_000058.jpg,FN,0,0,1,0,0,0,0,motion_blur
frame_000062.jpg,FN,0,0,1,0,0,0,0,motion_blur
frame_000066.jpg,FN,0,0,1,0,0,0,0,motion_blur
frame_000071.jpg,TP,0,0,1,0,0,0,0,motion_blur
frame_000075.jpg,TP,0,0,1,0,0,0,0,motion_blur
frame_000079.jpg,FN,0,0,1,0,0,0,0,motion_blur
frame_000083.jpg,FN,0,0,1,0,0,0,0,motion_blur
frame_000087.jpg,FN,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000091.jpg,FN,0,0,0,1,0,0,0,frame_edge
frame_000116.jpg,FN,0,0,0,1,0,0,0,frame_edge
frame_000120.jpg,TP,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000125.jpg,FN,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000129.jpg,FN,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000133.jpg,TP,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000137.jpg,TP,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000141.jpg,TP,0,0,1,0,0,0,0,motion_blur
frame_000145.jpg,FN,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000150.jpg,FN,1,0,0,0,0,0,0,net_overlap
frame_000154.jpg,FN,1,0,1,0,0,0,0,motion_blur;net_overlap
frame_000158.jpg,TP,0,0,1,0,1,0,0,low_contrast;motion_blur
frame_000162.jpg,FN,0,0,1,0,1,0,0,low_contrast;motion_blur
frame_000170.jpg,FN,1,0,1,0,1,0,0,low_contrast;motion_blur;net_overlap
frame_000174.jpg,TP,0,0,1,0,0,0,0,motion_blur
frame_000179.jpg,TP,0,0,1,0,0,0,0,motion_blur
frame_000183.jpg,TP,0,0,1,0,0,0,0,motion_blur
frame_000187.jpg,TP,0,0,1,0,0,0,0,motion_blur
frame_000191.jpg,TP,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000195.jpg,TP,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000199.jpg,TP,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000204.jpg,TP,0,0,1,0,0,0,0,motion_blur
frame_000208.jpg,TP,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000212.jpg,TP,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000216.jpg,TP,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000220.jpg,FN,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000224.jpg,TP,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000228.jpg,FN,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000233.jpg,FN,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000237.jpg,TP,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000241.jpg,FN,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000245.jpg,FN,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000249.jpg,TP,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000253.jpg,FN,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000258.jpg,FN,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000262.jpg,FN,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000287.jpg,FN,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000291.jpg,FN,1,0,0,0,0,0,0,net_overlap
frame_000295.jpg,FN,1,0,0,0,0,0,0,net_overlap
frame_000299.jpg,FN,1,0,0,0,0,0,0,net_overlap
frame_000432.jpg,FN,1,1,0,0,0,0,0,net_overlap;player_or_hand_occlusion
frame_000449.jpg,FN,1,1,0,0,0,0,0,net_overlap;player_or_hand_occlusion
frame_000453.jpg,FN,1,1,0,0,0,0,0,net_overlap;player_or_hand_occlusion
frame_000457.jpg,FN,1,0,0,0,0,0,0,net_overlap
frame_000461.jpg,FN,1,0,0,0,0,0,0,net_overlap
frame_000465.jpg,FN,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000469.jpg,FN,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000474.jpg,FN,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000478.jpg,FN,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000482.jpg,FN,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000486.jpg,FN,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000490.jpg,FN,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000494.jpg,FN,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000499.jpg,FN,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000503.jpg,FN,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000507.jpg,FN,1,1,0,0,0,0,0,net_overlap;player_or_hand_occlusion
frame_000511.jpg,FN,1,0,0,0,0,0,0,net_overlap
frame_000515.jpg,FN,1,0,0,0,0,0,0,net_overlap
frame_000519.jpg,FN,1,0,0,0,0,0,0,net_overlap
frame_000523.jpg,FN,1,0,0,0,0,0,0,net_overlap
frame_000528.jpg,FN,0,0,1,0,0,0,0,motion_blur
frame_000532.jpg,FN,0,0,1,0,1,0,0,low_contrast;motion_blur
frame_000536.jpg,FN,0,0,1,0,1,0,0,low_contrast;motion_blur
frame_000540.jpg,FN,0,0,0,0,1,0,0,low_contrast
frame_000544.jpg,TP,0,0,1,0,1,0,0,low_contrast;motion_blur
frame_000548.jpg,FN,1,0,0,0,0,0,0,net_overlap
frame_000553.jpg,FN,0,0,0,0,1,0,0,low_contrast
frame_000557.jpg,TP,0,0,0,0,1,0,0,low_contrast
frame_000561.jpg,FN,0,0,0,0,1,0,0,low_contrast
frame_000565.jpg,FN,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000569.jpg,FN,0,0,0,0,1,0,0,low_contrast
frame_000573.jpg,FN,0,0,0,0,1,0,0,low_contrast
frame_000577.jpg,FN,0,0,1,0,1,0,0,low_contrast;motion_blur
frame_000582.jpg,FN,0,0,1,0,1,0,0,low_contrast;motion_blur
frame_000586.jpg,FN,0,0,1,0,1,0,0,low_contrast;motion_blur
frame_000590.jpg,FN,0,0,0,0,1,0,0,low_contrast
frame_000594.jpg,FN,0,0,0,0,1,0,0,low_contrast
frame_000598.jpg,FN,0,1,0,0,1,0,0,low_contrast;player_or_hand_occlusion
frame_000602.jpg,FN,0,1,1,1,0,0,0,frame_edge;motion_blur;player_or_hand_occlusion
frame_000607.jpg,FN,0,1,1,0,1,0,0,low_contrast;motion_blur;player_or_hand_occlusion
frame_000611.jpg,FN,0,1,1,0,1,0,0,low_contrast;motion_blur;player_or_hand_occlusion
frame_000619.jpg,FN,0,1,0,0,0,0,0,player_or_hand_occlusion
