Frame,Visibility,X,Y
0,1,518,529
1,1,505,511
2,1,509,444
3,1,514,386
4,1,514,361
5,1,515,312
6,1,514,289
7,1,511,247
8,1,505,212
9,1,500,180
10,1,497,164
11,1,495,151
12,1,492,140
13,1,490,129
14,1,487,119
15,1,484,112
16,1,481,105
17,1,476,98
18,1,476,98
19,1,472,95
20,1,470,95
21,1,468,96
22,1,465,100
23,1,466,100
24,1,465,112
25,1,462,130
26,1,459,151
27,1,457,164
28,1,455,176
29,1,448,207
30,1,442,238
31,1,432,274
32,1,424,314
33,1,420,336
34,1,416,358
35,1,411,380
36,1,408,408
37,1,408,409
38,1,404,457
39,1,406,480
40,1,421,442
41,1,437,403
42,1,450,365
43,1,465,329
44,1,476,295
45,1,489,257
46,1,500,227
47,1,507,195
48,1,517,167
49,1,523,139
50,1,529,119
51,1,536,95
52,1,539,67
53,1,543,48
54,1,545,30
55,1,547,14
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
