image_name,outcome,center_x,center_y,normalized_width,normalized_height,normalized_area,area_percentage,original_width_px,original_height_px,original_area_px,input_width_px,input_height_px,input_area_px,coco_size,size_bin
frame_000544.jpg,TP,0.58485,0.423313,0.00683919,0.01411816,9.65568e-05,0.009656,16.004,15.248,244.018,8.754,8.341,73.015,small,Q1_smallest
frame_000287.jpg,FN,0.61099,0.323876,0.00691139,0.01482205,0.0001024409,0.010244,16.173,16.008,258.889,8.847,8.756,77.464,small,Q1_smallest
frame_000291.jpg,FN,0.609781,0.32533,0.00888742,0.01184138,0.0001052394,0.010524,20.797,12.789,265.961,11.376,6.996,79.58,small,Q1_smallest
frame_000432.jpg,FN,0.608609,0.372933,0.0056934,0.01874076,0.0001066986,0.01067,13.323,20.24,269.649,7.288,11.071,80.684,small,Q1_smallest
frame_000299.jpg,FN,0.609653,0.325705,0.00868311,0.01239472,0.0001076248,0.010762,20.318,13.386,271.989,11.114,7.322,81.384,small,Q1_smallest
frame_000262.jpg,FN,0.609489,0.315493,0.00631499,0.01820978,0.0001149946,0.011499,14.777,19.667,290.614,8.083,10.758,86.957,small,Q1_smallest
frame_000295.jpg,FN,0.60992,0.32431,0.00888742,0.01361206,0.0001209761,0.012098,20.797,14.701,305.731,11.376,8.042,91.48,small,Q1_smallest
frame_000536.jpg,FN,0.58861,0.381221,0.00820433,0.0157225,0.0001289926,0.012899,19.198,16.98,325.99,10.502,9.288,97.542,small,Q1_smallest
frame_000557.jpg,TP,0.581358,0.426515,0.00902477,0.01475348,0.0001331467,0.013315,21.118,15.934,336.488,11.552,8.716,100.683,small,Q1_smallest
frame_000449.jpg,FN,0.60628,0.377678,0.00678828,0.01992689,0.0001352693,0.013527,15.885,21.521,341.853,8.689,11.772,102.289,small,Q1_smallest
frame_000523.jpg,FN,0.593412,0.34882,0.00833975,0.01647372,0.0001373867,0.013739,19.515,17.792,347.204,10.675,9.732,103.89,small,Q1_smallest
frame_000258.jpg,FN,0.611021,0.307943,0.00788432,0.01798974,0.0001418369,0.014184,18.449,19.429,358.45,10.092,10.628,107.255,small,Q1_smallest
frame_000170.jpg,FN,0.53071,0.338205,0.00705329,0.02118657,0.000149435,0.014943,16.505,22.882,377.652,9.028,12.516,113.0,small,Q1_smallest
frame_000249.jpg,TP,0.610168,0.289169,0.00837273,0.01829209,0.0001531547,0.015315,19.592,19.755,387.053,10.717,10.806,115.813,small,Q1_smallest
frame_000482.jpg,FN,0.607956,0.386271,0.00803304,0.01921584,0.0001543616,0.015436,18.797,20.753,390.103,10.282,11.352,116.726,small,Q1_smallest
frame_000528.jpg,FN,0.591606,0.355499,0.00714836,0.02188986,0.0001564766,0.015648,16.727,23.641,395.448,9.15,12.932,118.325,small,Q1_smallest
frame_000478.jpg,FN,0.608136,0.386165,0.00861693,0.0182165,0.0001569704,0.015697,20.164,19.674,396.696,11.03,10.762,118.699,small,Q1_smallest
frame_000474.jpg,FN,0.60787,0.385453,0.00848391,0.01850355,0.0001569825,0.015698,19.852,19.984,396.726,10.859,10.931,118.708,small,Q1_smallest
frame_000241.jpg,FN,0.606546,0.246628,0.00859473,0.01855321,0.0001594599,0.015946,20.112,20.037,402.987,11.001,10.961,120.581,small,Q1_smallest
frame_000253.jpg,FN,0.610232,0.29508,0.00897531,0.01793477,0.0001609702,0.016097,21.002,19.37,406.804,11.488,10.595,121.723,small,Q1_smallest
frame_000062.jpg,FN,0.470042,0.243953,0.010438,0.01546513,0.0001614251,0.016143,24.425,16.702,407.953,13.361,9.136,122.067,small,Q1_smallest
frame_000540.jpg,FN,0.5867,0.399082,0.00907906,0.01829569,0.0001661077,0.016611,21.245,19.759,419.787,11.621,10.809,125.608,small,Q1_smallest
frame_000150.jpg,FN,0.487696,0.347423,0.0101676,0.01633811,0.0001661194,0.016612,23.792,17.645,419.817,13.015,9.652,125.617,small,Q1_smallest
frame_000490.jpg,FN,0.605278,0.375126,0.00840444,0.01992752,0.0001674797,0.016748,19.666,21.522,423.255,10.758,11.773,126.646,small,Q1_smallest
frame_000519.jpg,FN,0.596065,0.348678,0.0097933,0.0171031,0.0001674959,0.01675,22.916,18.471,423.296,12.535,10.104,126.658,small,Q1_smallest
frame_000503.jpg,FN,0.601754,0.354677,0.00976819,0.01731633,0.0001691491,0.016915,22.858,18.702,427.474,12.503,10.23,127.908,small,Q1_smallest
frame_000245.jpg,FN,0.609394,0.283141,0.00848472,0.01993838,0.0001691715,0.016917,19.854,21.533,427.53,10.86,11.779,127.925,small,Q2
frame_000499.jpg,FN,0.603473,0.359135,0.00970476,0.0180722,0.0001753863,0.017539,22.709,19.518,443.236,12.422,10.676,132.624,small,Q2
frame_000569.jpg,FN,0.577874,0.424762,0.00894631,0.01963378,0.0001756499,0.017565,20.934,21.204,443.903,11.451,11.599,132.824,small,Q2
frame_000561.jpg,FN,0.580321,0.422047,0.00892007,0.01974024,0.0001760844,0.017608,20.873,21.319,445.0,11.418,11.662,133.152,small,Q2
frame_000237.jpg,TP,0.603451,0.213883,0.00886885,0.01992009,0.0001766682,0.017667,20.753,21.514,446.476,11.352,11.768,133.594,small,Q2
frame_000511.jpg,FN,0.599564,0.3513,0.00867334,0.02044431,0.0001773205,0.017732,20.296,22.08,448.124,11.102,12.078,134.087,small,Q2
frame_000469.jpg,FN,0.607738,0.383902,0.00963213,0.01870782,0.0001801961,0.01802,22.539,20.204,455.392,12.329,11.052,136.262,small,Q2
frame_000465.jpg,FN,0.607401,0.383368,0.00965822,0.01871281,0.0001807325,0.018073,22.6,20.21,456.747,12.363,11.055,136.667,small,Q2
frame_000457.jpg,FN,0.606987,0.380477,0.00896637,0.02031828,0.0001821812,0.018218,20.981,21.944,460.408,11.477,12.003,137.763,small,Q2
frame_000515.jpg,FN,0.597721,0.349443,0.00983161,0.01855321,0.000182408,0.018241,23.006,20.037,460.982,12.584,10.961,137.934,small,Q2
frame_000611.jpg,FN,0.56832,0.496466,0.0089981,0.02047069,0.0001841974,0.01842,21.056,22.108,465.504,11.518,12.093,139.287,small,Q2
frame_000486.jpg,FN,0.606924,0.382552,0.00893091,0.02063529,0.000184292,0.018429,20.898,22.286,465.743,11.432,12.191,139.359,small,Q2
frame_000582.jpg,FN,0.575397,0.47054,0.0085891,0.02148979,0.000184578,0.018458,20.098,23.209,466.465,10.994,12.696,139.575,small,Q2
frame_000453.jpg,FN,0.607291,0.378683,0.00931376,0.01988523,0.0001852063,0.018521,21.794,21.476,468.053,11.922,11.748,140.05,small,Q2
frame_000233.jpg,FN,0.600262,0.183861,0.00893091,0.02101323,0.0001876673,0.018767,20.898,22.694,474.273,11.432,12.414,141.911,small,Q2
frame_000577.jpg,FN,0.576649,0.442901,0.00977419,0.019569,0.0001912712,0.019127,22.872,21.135,483.381,12.511,11.561,144.636,small,Q2
frame_000228.jpg,FN,0.59598,0.151387,0.00907046,0.02109569,0.0001913475,0.019135,21.225,22.783,483.573,11.61,12.463,144.694,small,Q2
frame_000494.jpg,FN,0.604579,0.366134,0.00924489,0.02086205,0.0001928674,0.019287,21.633,22.531,487.414,11.833,12.325,145.843,small,Q2
frame_000224.jpg,TP,0.592556,0.130657,0.00907046,0.02131558,0.000193342,0.019334,21.225,23.021,488.614,11.61,12.593,146.202,small,Q2
frame_000220.jpg,FN,0.588741,0.112859,0.0093635,0.02078647,0.0001946341,0.019463,21.911,22.449,491.879,11.985,12.28,147.179,small,Q2
frame_000050.jpg,FN,0.481943,0.320716,0.01078306,0.0180722,0.0001948736,0.019487,25.232,19.518,492.485,13.802,10.676,147.36,small,Q2
frame_000598.jpg,FN,0.571037,0.475092,0.0103034,0.01891342,0.0001948726,0.019487,24.11,20.426,492.482,13.188,11.173,147.36,small,Q2
frame_000532.jpg,FN,0.590402,0.365269,0.00944479,0.02069108,0.0001954228,0.019542,22.101,22.346,493.872,12.089,12.224,147.776,small,Q2
frame_000573.jpg,FN,0.577424,0.433102,0.00940711,0.02082516,0.0001959046,0.01959,22.013,22.491,495.09,12.041,12.303,148.14,small,Q2
