Frame,Visibility,X,Y
0,0,0,0
4,1,479,688
7,1,509,658
11,1,562,526
15,1,589,465
18,1,612,428
22,1,643,393
26,1,670,374
29,1,691,376
33,1,711,389
37,0,0,0
40,1,699,470
44,1,673,516
48,1,785,488
51,1,833,473
70,1,1484,638
77,1,1372,460
81,1,1315,385
84,1,1278,340
88,1,1230,298
92,1,1180,268
95,1,1142,264
99,1,1108,278
103,1,1087,307
106,1,1074,340
110,1,1066,397
113,1,1061,450
117,1,1057,504
121,1,1072,431
124,1,1080,396
128,1,1083,372
132,1,1084,373
135,1,1081,394
139,0,0,0
143,1,878,385
146,1,825,311
150,1,750,232
154,1,688,200
157,1,643,196
161,1,614,211
165,1,611,251
168,1,613,287
172,1,616,346
176,1,614,397
179,1,610,479
183,1,625,499
187,1,687,420
190,1,731,372
194,1,792,311
198,1,836,285
201,1,864,274
205,1,891,277
209,1,910,302
212,1,919,330
216,1,930,386
385,0,0,0
389,0,0,0
393,0,0,0
396,0,0,0
400,0,0,0
404,0,0,0
407,0,0,0
411,0,0,0
415,0,0,0
419,0,0,0
423,0,0,0
426,1,643,401
430,1,633,445
434,1,568,535
437,1,626,498
441,1,666,469
445,1,721,465
460,1,1175,681
467,1,1078,484
471,1,1043,399
475,1,1012,336
479,1,992,313
483,1,977,309
486,1,971,314
490,1,958,338
494,1,950,376
497,1,940,440
501,1,928,506
505,1,947,479
745,0,0,0
749,0,0,0
752,0,0,0
756,0,0,0
760,0,0,0
763,0,0,0
767,0,0,0
771,0,0,0
775,0,0,0
778,0,0,0
782,0,0,0
786,1,478,572
789,1,513,510
793,1,563,436
797,1,602,413
800,1,628,413
804,1,649,440
808,1,642,504
811,1,665,538
815,1,819,512
819,1,920,504
830,1,1191,563
834,1,1342,631
841,1,1287,541
