image_name,net_overlap,player_or_hand_occlusion,motion_blur,frame_edge,low_contrast,other,no_obvious_manual_factor,selected_factors
frame_000000.jpg,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000004.jpg,0,0,1,0,0,0,0,motion_blur
frame_000008.jpg,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000050.jpg,1,0,0,0,0,0,0,net_overlap
frame_000054.jpg,1,0,0,0,0,0,0,net_overlap
frame_000058.jpg,0,0,1,0,0,0,0,motion_blur
frame_000062.jpg,0,0,1,0,0,0,0,motion_blur
frame_000066.jpg,0,0,1,0,0,0,0,motion_blur
frame_000079.jpg,0,0,1,0,0,0,0,motion_blur
frame_000083.jpg,0,0,1,0,0,0,0,motion_blur
frame_000087.jpg,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000091.jpg,0,0,0,1,0,0,0,frame_edge
frame_000116.jpg,0,0,0,1,0,0,0,frame_edge
frame_000125.jpg,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000129.jpg,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000145.jpg,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000150.jpg,1,0,0,0,0,0,0,net_overlap
frame_000154.jpg,1,0,1,0,0,0,0,motion_blur;net_overlap
frame_000162.jpg,0,0,1,0,1,0,0,low_contrast;motion_blur
frame_000170.jpg,1,0,1,0,1,0,0,low_contrast;motion_blur;net_overlap
frame_000220.jpg,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000228.jpg,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000233.jpg,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000241.jpg,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000245.jpg,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000253.jpg,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000258.jpg,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000262.jpg,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000287.jpg,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000291.jpg,1,0,0,0,0,0,0,net_overlap
frame_000295.jpg,1,0,0,0,0,0,0,net_overlap
frame_000299.jpg,1,0,0,0,0,0,0,net_overlap
frame_000432.jpg,1,1,0,0,0,0,0,net_overlap;player_or_hand_occlusion
frame_000449.jpg,1,1,0,0,0,0,0,net_overlap;player_or_hand_occlusion
frame_000453.jpg,1,1,0,0,0,0,0,net_overlap;player_or_hand_occlusion
frame_000457.jpg,1,0,0,0,0,0,0,net_overlap
frame_000461.jpg,1,0,0,0,0,0,0,net_overlap
frame_000465.jpg,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000469.jpg,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000474.jpg,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000478.jpg,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000482.jpg,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000486.jpg,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000490.jpg,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000494.jpg,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000499.jpg,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000503.jpg,0,1,0,0,0,0,0,player_or_hand_occlusion
frame_000507.jpg,1,1,0,0,0,0,0,net_overlap;player_or_hand_occlusion
frame_000511.jpg,1,0,0,0,0,0,0,net_overlap
frame_000515.jpg,1,0,0,0,0,0,0,net_overlap
frame_000519.jpg,1,0,0,0,0,0,0,net_overlap
frame_000523.jpg,1,0,0,0,0,0,0,net_overlap
frame_000528.jpg,0,0,1,0,0,0,0,motion_blur
frame_000532.jpg,0,0,1,0,1,0,0,low_contrast;motion_blur
frame_000536.jpg,0,0,1,0,1,0,0,low_contrast;motion_blur
frame_000540.jpg,0,0,0,0,1,0,0,low_contrast
frame_000548.jpg,1,0,0,0,0,0,0,net_overlap
frame_000553.jpg,0,0,0,0,1,0,0,low_contrast
frame_000561.jpg,0,0,0,0,1,0,0,low_contrast
frame_000565.jpg,0,0,0,0,0,0,1,no_obvious_manual_factor
frame_000569.jpg,0,0,0,0,1,0,0,low_contrast
frame_000573.jpg,0,0,0,0,1,0,0,low_contrast
frame_000577.jpg,0,0,1,0,1,0,0,low_contrast;motion_blur
frame_000582.jpg,0,0,1,0,1,0,0,low_contrast;motion_blur
frame_000586.jpg,0,0,1,0,1,0,0,low_contrast;motion_blur
frame_000590.jpg,0,0,0,0,1,0,0,low_contrast
frame_000594.jpg,0,0,0,0,1,0,0,low_contrast
frame_000598.jpg,0,1,0,0,1,0,0,low_contrast;player_or_hand_occlusion
frame_000602.jpg,0,1,1,1,0,0,0,frame_edge;motion_blur;player_or_hand_occlusion
frame_000607.jpg,0,1,1,0,1,0,0,low_contrast;motion_blur;player_or_hand_occlusion
frame_000611.jpg,0,1,1,0,1,0,0,low_contrast;motion_blur;player_or_hand_occlusion
frame_000619.jpg,0,1,0,0,0,0,0,player_or_hand_occlusion
