"file_name","frame_index","time_seconds","source_frame_index","source_time_seconds","rally_id","rally_sample_number","rally_start_second","rally_end_second"
"frame_000000.png","0","0.0","528","21.970889099526065","1","1","22.0","31.0"
"frame_000004.png","4","0.16644612954186414","532","22.13733522906793","1","2","22.0","31.0"
"frame_000007.png","7","0.2912807266982622","535","22.262169826224326","1","3","22.0","31.0"
"frame_000011.png","11","0.4577268562401264","539","22.42861595576619","1","4","22.0","31.0"
"frame_000015.png","15","0.6241729857819904","543","22.595062085308054","1","5","22.0","31.0"
"frame_000018.png","18","0.7490075829383885","546","22.719896682464455","1","6","22.0","31.0"
"frame_000022.png","22","0.9154537124802528","550","22.88634281200632","1","7","22.0","31.0"
"frame_000026.png","26","1.0818998420221169","554","23.052788941548183","1","8","22.0","31.0"
"frame_000029.png","29","1.2067344391785149","557","23.17762353870458","1","9","22.0","31.0"
"frame_000033.png","33","1.373180568720379","561","23.344069668246444","1","10","22.0","31.0"
"frame_000037.png","37","1.5396266982622433","565","23.510515797788308","1","11","22.0","31.0"
"frame_000040.png","40","1.6644612954186413","568","23.635350394944705","1","12","22.0","31.0"
"frame_000044.png","44","1.8309074249605055","572","23.80179652448657","1","13","22.0","31.0"
"frame_000048.png","48","1.9973535545023695","576","23.968242654028433","1","14","22.0","31.0"
"frame_000051.png","51","2.1221881516587677","579","24.093077251184834","1","15","22.0","31.0"
"frame_000070.png","70","2.912807266982622","598","24.883696366508687","1","20","22.0","31.0"
"frame_000077.png","77","3.2040879936808846","605","25.174977093206948","1","22","22.0","31.0"
"frame_000081.png","81","3.3705341232227486","609","25.341423222748812","1","23","22.0","31.0"
"frame_000084.png","84","3.4953687203791466","612","25.466257819905213","1","24","22.0","31.0"
"frame_000088.png","88","3.661814849921011","616","25.632703949447077","1","25","22.0","31.0"
"frame_000092.png","92","3.828260979462875","620","25.79915007898894","1","26","22.0","31.0"
"frame_000095.png","95","3.953095576619273","623","25.923984676145338","1","27","22.0","31.0"
